Time,Day_of_week,Age_band_of_driver,Driving_experience,Type_of_vehicle,Road_surface_conditions,Light_conditions,Weather_conditions,Cause_of_accident,Accident_severity
17:02:00,Monday,18-30,1-2yr,Automobile,Dry,Daylight,Normal,Moving Backward,Slight Injury
17:02:00,Monday,31-50,Above 10yr,Public (> 45 seats),Dry,Daylight,Normal,Overtaking,Slight Injury
17:02:00,Monday,18-30,1-2yr,Lorry (41?100Q),Dry,Daylight,Normal,Changing lane to the left,Serious Injury
1:06:00,Sunday,18-30,5-10yr,Public (> 45 seats),Dry,Darkness - lights lit,Normal,Changing lane to the right,Slight Injury
1:06:00,Sunday,18-30,2-5yr,,Dry,Darkness - lights lit,Normal,Overtaking,Slight Injury
14:15:00,Friday,31-50,,,Dry,Daylight,Normal,Overloading,Slight Injury
17:30:00,Wednesday,18-30,2-5yr,Automobile,Dry,Daylight,Normal,Other,Slight Injury
17:20:00,Friday,18-30,2-5yr,Automobile,Dry,Daylight,Normal,No priority to vehicle,Slight Injury
17:20:00,Friday,18-30,Above 10yr,Lorry (41?100Q),Dry,Daylight,Normal,Changing lane to the right,Slight Injury
17:20:00,Friday,18-30,1-2yr,Automobile,Dry,Daylight,Normal,Moving Backward,Serious Injury
14:40:00,Saturday,18-30,1-2yr,Public (13?45 seats),Dry,Daylight,Normal,Changing lane to the left,Serious Injury
14:40:00,Saturday,31-50,No Licence,Automobile,Dry,Daylight,Normal,No priority to pedestrian,Serious Injury
17:45:00,Thursday,18-30,1-2yr,Public (> 45 seats),Dry,Daylight,Normal,No distancing,Slight Injury
17:45:00,Thursday,31-50,5-10yr,Lorry (41?100Q),Dry,Daylight,Normal,No priority to vehicle,Slight Injury
17:45:00,Thursday,31-50,Above 10yr,Automobile,Dry,Daylight,Normal,No distancing,Serious Injury
22:45:00,Monday,18-30,Above 10yr,Lorry (11?40Q),Wet or damp,Darkness - lights lit,Raining,No distancing,Serious Injury
22:45:00,Monday,18-30,5-10yr,Public (13?45 seats),Wet or damp,Darkness - lights lit,Raining,Moving Backward,Slight Injury
22:45:00,Monday,18-30,2-5yr,Public (13?45 seats),Wet or damp,Darkness - lights lit,Raining,Changing lane to the right,Serious Injury
22:45:00,Monday,18-30,2-5yr,,Wet or damp,Darkness - lights lit,Raining,No priority to pedestrian,Slight Injury
8:20:00,Tuesday,18-30,Below 1yr,Long lorry,Dry,Daylight,Normal,Moving Backward,Serious Injury
8:20:00,Tuesday,Under 18,2-5yr,Lorry (41?100Q),Dry,Daylight,Normal,Getting off the vehicle improperly,Slight Injury
15:10:00,Thursday,18-30,2-5yr,Lorry (11?40Q),Dry,Daylight,Normal,Overtaking,Serious Injury
12:11:00,Thursday,18-30,5-10yr,Lorry (41?100Q),Dry,Daylight,Normal,Overloading,Serious Injury
12:11:00,Thursday,31-50,Above 10yr,Public (12 seats),Dry,Daylight,Normal,Changing lane to the right,Serious Injury
18:36:00,Wednesday,18-30,,,Dry,Daylight,Normal,Improper parking,Slight Injury
18:36:00,Wednesday,18-30,2-5yr,Taxi,Dry,Daylight,Normal,Other,Slight Injury
18:36:00,Wednesday,18-30,5-10yr,,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
14:35:00,Friday,18-30,2-5yr,Automobile,Dry,Daylight,Normal,Changing lane to the right,Slight Injury
12:25:00,Tuesday,Over 51,,,Dry,Daylight,Normal,No priority to pedestrian,Slight Injury
12:25:00,Tuesday,18-30,1-2yr,Lorry (41?100Q),Dry,Daylight,Normal,Overspeed,Slight Injury
15:30:00,Monday,18-30,2-5yr,Automobile,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
18:10:00,Thursday,18-30,Above 10yr,Automobile,Dry,Daylight,Normal,No priority to vehicle,Slight Injury
15:25:00,Thursday,18-30,Below 1yr,Lorry (41?100Q),Dry,Daylight,Normal,Changing lane to the right,Slight Injury
15:25:00,Thursday,31-50,2-5yr,Automobile,Dry,Daylight,Normal,No distancing,Slight Injury
13:57:00,Saturday,Over 51,Below 1yr,Automobile,Dry,Daylight,Normal,No priority to pedestrian,Slight Injury
13:57:00,Saturday,18-30,5-10yr,Automobile,Dry,Daylight,Normal,No distancing,Slight Injury
20:30:00,Friday,18-30,1-2yr,Taxi,Dry,Darkness - lights lit,Normal,No priority to vehicle,Slight Injury
20:30:00,Friday,Over 51,Below 1yr,,Dry,Darkness - lights lit,Normal,Other,Slight Injury
20:30:00,Friday,Over 51,,,Dry,Darkness - lights lit,Normal,Driving carelessly,Slight Injury
16:30:00,Sunday,Over 51,Below 1yr,Automobile,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
16:30:00,Sunday,31-50,Below 1yr,Pick up upto 10Q,Dry,Daylight,Normal,Driving carelessly,Slight Injury
21:50:00,Sunday,31-50,,,Dry,Darkness - lights lit,Normal,Changing lane to the left,Slight Injury
21:50:00,Sunday,18-30,2-5yr,Automobile,Dry,Darkness - lights lit,Normal,No priority to vehicle,Slight Injury
